lakename,continent,avg_lat,avg_long,lakeelevation,TP_log10_winter,TN_log10_winter,iceform_mean_tavg,iceform_mean_slp,iceform_var_slp,underice_mean_slp,underice_var_slp,iceform_mean_precip,underice_mean_precip,TP_log10_summer,TN_log10_summer,prestrat_mean_tavg,prestrat_mean_slp,prestrat_var_slp,strat_mean_slp,strat_var_slp,prestrat_mean_precip,strat_mean_precip
Allequash Lake,North America,46.038,-89.621,500,"0.95 [0.71, 1.36]","2.43 [2.02, 2.96]","-2.09 [-4.01, -0.57]","97919.07 [97437.16, 98256.38]","627277.72 [296036.44, 1068214.76]","98006.31 [97790.57, 98208.57]","633375.09 [438747.03, 789705.71]","50.95 [13.3, 141]","38.84 [18.48, 59.68]","1.19 [0.61, 1.48]","2.47 [2.23, 2.57]","8.08 [2.7, 13.98]","97832.71 [97414.22, 98157.33]","474389.04 [218208.08, 748901.46]","97907.7 [97718.27, 98092.79]","248183.27 [151825.31, 360068.62]","73.22 [17.4, 122.6]","93.6 [65.83, 154.43]"
AT1,North America,67.965833,-53.410278,500,"1.15 [1.15, 1.15]","NaN [Inf, -Inf]","-14.52 [-14.52, -14.52]","98148.19 [98148.19, 98148.19]","920370.94 [920370.94, 920370.94]","97890 [97890, 97890]","NaN [Inf, -Inf]","20 [20, 20]","24 [24, 24]","1.57 [1.57, 1.57]","2.35 [2.35, 2.35]","8.06 [8.06, 8.06]","98256.98 [98256.98, 98256.98]","168350.17 [168350.17, 168350.17]","97972.5 [97972.5, 97972.5]","NaN [Inf, -Inf]","18.5 [18.5, 18.5]","42 [42, 42]"
AT2,North America,67.964167,-53.430556,500,"0.91 [0.91, 0.91]","2.11 [2.11, 2.11]","-14.52 [-14.52, -14.52]","98148.19 [98148.19, 98148.19]","920370.94 [920370.94, 920370.94]","97890 [97890, 97890]","NaN [Inf, -Inf]","20 [20, 20]","24 [24, 24]","1.31 [1.31, 1.31]","2.41 [2.41, 2.41]","8.06 [8.06, 8.06]","98256.98 [98256.98, 98256.98]","168350.17 [168350.17, 168350.17]","97972.5 [97972.5, 97972.5]","NaN [Inf, -Inf]","18.5 [18.5, 18.5]","42 [42, 42]"
AT4,North America,66.961944,-53.499444,125,"0.87 [0.87, 0.87]","2.11 [2.11, 2.11]","-13.58 [-13.58, -13.58]","98194.91 [98194.91, 98194.91]","843518.07 [843518.07, 843518.07]","97680 [97680, 97680]","NaN [Inf, -Inf]","23 [23, 23]","28 [28, 28]","0.49 [0.49, 0.49]","2.42 [2.42, 2.42]","8.32 [8.32, 8.32]","98294.14 [98294.14, 98294.14]","167883.61 [167883.61, 167883.61]","98392.5 [98392.5, 98392.5]","NaN [Inf, -Inf]","25.9 [25.9, 25.9]","56 [56, 56]"
AT6,North America,66.968056,-53.499444,150,"0.91 [0.91, 0.91]","2.28 [2.28, 2.28]","-13.58 [-13.58, -13.58]","98194.91 [98194.91, 98194.91]","843518.07 [843518.07, 843518.07]","97680 [97680, 97680]","NaN [Inf, -Inf]","23 [23, 23]","28 [28, 28]","-1 [-1, -1]","2.38 [2.38, 2.38]","8.32 [8.32, 8.32]","98294.14 [98294.14, 98294.14]","167883.61 [167883.61, 167883.61]","98392.5 [98392.5, 98392.5]","NaN [Inf, -Inf]","25.9 [25.9, 25.9]","56 [56, 56]"
AT7,North America,66.9725,-53.585278,450,"0.48 [0.48, 0.48]","2.46 [2.46, 2.46]","-13.68 [-13.68, -13.68]","98255.95 [98255.95, 98255.95]","716756.43 [716756.43, 716756.43]","97122.5 [97122.5, 97122.5]","90312.5 [90312.5, 90312.5]","22 [22, 22]","26 [26, 26]","-1 [-1, -1]","2.76 [2.76, 2.76]","8.32 [8.32, 8.32]","98294.31 [98294.31, 98294.31]","167871.38 [167871.38, 167871.38]","98262.5 [98262.5, 98262.5]","NaN [Inf, -Inf]","24.4 [24.4, 24.4]","51 [51, 51]"
AT8,North America,66.971111,-53.583333,425,"1.04 [1.04, 1.04]","2 [2, 2]","-13.65 [-13.65, -13.65]","98219.74 [98219.74, 98219.74]","773969.8 [773969.8, 773969.8]","96910 [96910, 96910]","NaN [Inf, -Inf]","22 [22, 22]","26 [26, 26]","1.57 [1.57, 1.57]","2.38 [2.38, 2.38]","8.33 [8.33, 8.33]","98280.17 [98280.17, 98280.17]","170279.88 [170279.88, 170279.88]","98000 [98000, 98000]","NaN [Inf, -Inf]","24.4 [24.4, 24.4]","51 [51, 51]"
Big Muskellunge Lake,North America,46.021,-89.612,500,"0.89 [0.49, 1.3]","2.68 [2.52, 2.97]","-2.03 [-4.01, -0.57]","97930.71 [97437.16, 98256.38]","643844.32 [296036.44, 1068214.76]","98005.85 [97784.37, 98203.88]","636232.64 [451875.55, 768289.27]","50.46 [13.3, 141]","37.96 [14.55, 62.13]","0.91 [-1, 1.4]","2.53 [2.36, 2.72]","8.81 [4.33, 13.98]","97847.69 [97414.22, 98150.69]","413386.38 [221931.2, 634991.04]","97930.54 [97773.47, 98090.05]","277054.07 [198853.92, 388555.95]","75.7 [17.4, 132.2]","94.33 [63.92, 165.3]"
Blackstrap Reservoir,North America,51.815223,-106.418395,436,"1.71 [1.71, 1.71]","3.15 [3.15, 3.15]","-13.91 [-13.91, -13.91]","94445.34 [94445.34, 94445.34]","763569.07 [763569.07, 763569.07]","94877.76 [94877.76, 94877.76]","410529.77 [410529.77, 410529.77]","15 [15, 15]","15.47 [15.47, 15.47]","1.61 [1.61, 1.61]","3 [3, 3]","16.35 [16.35, 16.35]","94563.53 [94563.53, 94563.53]","308640.41 [308640.41, 308640.41]","94267.5 [94267.5, 94267.5]","NaN [Inf, -Inf]","150.1 [150.1, 150.1]","81.8 [81.8, 81.8]"
Bride Lake,North America,41.3273,-72.2377,4,"1.34 [1.34, 1.34]","2.73 [2.73, 2.73]","-3.61 [-3.61, -3.61]","98073.79 [98073.79, 98073.79]","612968.58 [612968.58, 612968.58]","99047.5 [99047.5, 99047.5]","NaN [Inf, -Inf]","120.2 [120.2, 120.2]","117.6 [117.6, 117.6]","1.37 [1.37, 1.37]","2.65 [2.65, 2.65]","4.81 [4.81, 4.81]","98139.05 [98139.05, 98139.05]","887005.1 [887005.1, 887005.1]","98227.75 [98227.75, 98227.75]","220887.79 [220887.79, 220887.79]","109.2 [109.2, 109.2]","137.9 [137.9, 137.9]"
Broderick Reservoir,North America,51.465416,-106.91446,539,"1.3 [1.3, 1.3]","3 [3, 3]","-10.88 [-10.88, -10.88]","94520.34 [94520.34, 94520.34]","519890.5 [519890.5, 519890.5]","94892.25 [94892.25, 94892.25]","450506.26 [450506.26, 450506.26]","25.1 [25.1, 25.1]","22.77 [22.77, 22.77]","1.25 [1.25, 1.25]","2.64 [2.64, 2.64]","15.74 [15.74, 15.74]","94496.9 [94496.9, 94496.9]","261638.69 [261638.69, 261638.69]","93777.5 [93777.5, 93777.5]","NaN [Inf, -Inf]","133.8 [133.8, 133.8]","133.8 [133.8, 133.8]"
Buffalo Pound Lake,North America,50.65,-105.5,509.47,"1.72 [1.45, 2.11]","NaN [Inf, -Inf]","-2.59 [-4.35, -1.15]","93115.54 [92649.05, 93531.12]","574763.05 [271292.01, 862647]","93219.58 [92995.56, 93489.38]","627313.26 [343014.96, 880001.66]","13.25 [0.6, 25.8]","17.26 [10.03, 25.78]","1.99 [1.76, 2.21]","NaN [Inf, -Inf]","16.27 [14.05, 21.7]","93073.4 [92811.81, 93356.72]","289340.53 [117635.22, 579765.67]","93282.98 [93094.13, 93442.39]","289739.57 [186844.6, 474848.89]","74.99 [24.7, 165.7]","45.48 [26.17, 91.9]"
